Academy of En	ET 88C,FRIA C T 	ET 88C	FRIA C T 					3
Art	AHIS 1,MOUSAVI A	AHIS 1	MOUSAVI A	23	12	4	1	50
Art	AHIS 1,MACK R T	AHIS 1	MACK R T	10	11	9		42
Art	AHIS 1,MEYER W J	AHIS 1	MEYER W J	33	10	2		57
Art	AHIS 1,MEYER W J	AHIS 1	MEYER W J	33	9	2		53
Art	AHIS 1,MEYER W J	AHIS 1	MEYER W J	27	8	3	1	47
Art	AHIS 1,MOUSAVI A	AHIS 1	MOUSAVI A	19	8	5		48
Art	AHIS 2,DONAHUE N J	AHIS 2	DONAHUE N J	60	16	13	1	121
Art	AHIS 2,DONAHUE N J	AHIS 2	DONAHUE N J	86	18	5		131
Art	AHIS 2,ROWE S H	AHIS 2	ROWE S H	16	4	3		30
Art	AHIS 2,ROWE S H	AHIS 2	ROWE S H	12	6	2	1	30
Art	AHIS 3,DONAHUE N J	AHIS 3	DONAHUE N J	37	7	4		58
Art	AHIS 3,MEYER W J	AHIS 3	MEYER W J	44	17	5		118
Art	AHIS 5,POHL J M	AHIS 5	POHL J M	30	2	1		40
Art	AHIS 6,LEAPER L E	AHIS 6	LEAPER L E	6	9	2		41
Art	AHIS 6,ROSENBLUM B T	AHIS 6	ROSENBLUM B T	7	7	2		37
Art	AHIS 11,MEYER W J	AHIS 11	MEYER W J	24	7	3		40
Art	AHIS 11,MEYER W J	AHIS 11	MEYER W J	22	6	2	2	44
Art	AHIS 11,THAYER J	AHIS 11	THAYER J	22	5	2		40
Art	AHIS 17,MING L Y	AHIS 17	MING L Y	17	10	4		43
Art	AHIS 17,O'LEARY T F	AHIS 17	O'LEARY T F	9	8	4		37
Art	AHIS 18,BETTELHEIM J	AHIS 18	BETTELHEIM J	9	12	2		53
Art	AHIS 72,STUART C A	AHIS 72	STUART C A	13	2	5		40
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	19	13	4		45
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	16	8	3	1	40
Art	AHIS 72,SCHAPA E J	AHIS 72	SCHAPA E J	41				44
Art	AHIS 72,MIHAYLOVICH K W	AHIS 72	MIHAYLOVICH K W	16	10	2		41
Art	AHIS 72,STUART C A	AHIS 72	STUART C A	7	3	6		37
Art	ART 10A,BURCHMAN J H	ART 10A	BURCHMAN J H	10	6	4		28
Art	ART 10A,SCHMELTZ L A	ART 10A	SCHMELTZ L A	3	1	3		19
Art	ART 10A,MIYANO E	ART 10A	MIYANO E	10	7	1		27
Art	ART 10A,MITCHELL R	ART 10A	MITCHELL R	14	8	3		27
Art	ART 10A,ARUTIAN C L	ART 10A	ARUTIAN C L	9	4	3		26
Art	ART 10A,HARRIS-FUENTES R	ART 10A	HARRIS-FUENTES R	10	4	1		18
Art	ART 10A,KARLSEN A M	ART 10A	KARLSEN A M	10	4	1		29
Art	ART 10A,BURCHMAN J H	ART 10A	BURCHMAN J H	17	4	1		27
Art	ART 10A,ZARCONE J	ART 10A	ZARCONE J	2	4	3		22
Art	ART 10A,VICICH G M	ART 10A	VICICH G M	16	9			30
Art	ART 10A,KARLSEN A M	ART 10A	KARLSEN A M	8	3	4		23
Art	ART 10A,ARGOTE C A	ART 10A	ARGOTE C A	8	7	3		28
Art	ART 10A,HARRIS-FUENTES R	ART 10A	HARRIS-FUENTES R	13	5			25
Art	ART 10A,WINSRYG M W	ART 10A	WINSRYG M W	8	3	1		14
Art	ART 10A,SHIBATA J M	ART 10A	SHIBATA J M	17	1			24
Art	ART 10A,MITCHELL R	ART 10A	MITCHELL R	12	3	1		21
Art	ART 10A,ARGOTE C A	ART 10A	ARGOTE C A	11	6	1		25
Art	ART 10B,WINSRYG M W	ART 10B	WINSRYG M W	9	5	1		20
Art	ART 10B,DAVIS R L	ART 10B	DAVIS R L	23	7			33
Art	ART 10B,MIYANO E	ART 10B	MIYANO E	10	12	1		25
Art	ART 10C,OBIAMIWE O D	ART 10C	OBIAMIWE O D	14	2	5		24
Art	ART 10C,OBIAMIWE O D	ART 10C	OBIAMIWE O D	15	2	1		22
Art	ART 10C,LUNDQUIST T	ART 10C	LUNDQUIST T	7	2	1		15
Art	ART 13,HARTMAN D G	ART 13	HARTMAN D G	14	6			24
Art	ART 13,HARTMAN D G	ART 13	HARTMAN D G	20	2	2		27
Art	ART 13,SILVER E M	ART 13	SILVER E M	10	3	2		19
Art	ART 17A,JOLLER G	ART 17A	JOLLER G	14	1	1	1	23
Art	ART 20A,HATTON C	ART 20A	HATTON C	6	10	5		29
Art	ART 20A,VICICH G M	ART 20A	VICICH G M	11	10			29
Art	ART 20A,HATTON C	ART 20A	HATTON C	14	9	4		32
Art	ART 20A,MINCKLEY J L	ART 20A	MINCKLEY J L	8	3	3		25
Art	ART 20A,HATTON C	ART 20A	HATTON C	14	7	7		31
Art	ART 20A,KOMPANEYETS M	ART 20A	KOMPANEYETS M	9	2	3		23
Art	ART 20A,KAGAN SHARON	ART 20A	KAGAN SHARON	7	7	4		25
Art	ART 20A,KAGAN SHARON	ART 20A	KAGAN SHARON	7	6	3	1	27
Art	ART 20A,WHEAT N R	ART 20A	WHEAT N R	7	5	4		28
Art	ART 20A,MORRISON E C	ART 20A	MORRISON E C	4	8	7		25
Art	ART 20A,MAMMARELLA C J	ART 20A	MAMMARELLA C J	8	7	2		31
Art	ART 20A,ZARCONE J	ART 20A	ZARCONE J	5	2	1		20
Art	ART 20A,RICHARDSON DOOL L	ART 20A	RICHARDSON DOOL L	4	8	5		27
Art	ART 20A,OCONNELL J L	ART 20A	OCONNELL J L	6	11	1		30
Art	ART 20A,HARRISON A B	ART 20A	HARRISON A B	5	6	3		19
Art	ART 20B,KOMPANEYETS M	ART 20B	KOMPANEYETS M	12	5	1		25
Art	ART 20B,SYNICKY C M	ART 20B	SYNICKY C M	4	2	2		17
Art	ART 20B,KARLSEN A M	ART 20B	KARLSEN A M	10	2	5		25
Art	ART 20B,KARLSEN A M	ART 20B	KARLSEN A M	10	2	2	1	26
Art	ART 20B,HATTON C	ART 20B	HATTON C	16	4	2		28
Art	ART 20B,MAMMARELLA C J	ART 20B	MAMMARELLA C J	5	7	4		26
Art	ART 20C,WINSRYG M W	ART 20C	WINSRYG M W	10	1	3		18
Art	ART 21A,TRUJILLO M E	ART 21A	TRUJILLO M E	14	6	5		27
Art	ART 21A,TRUJILLO M E	ART 21A	TRUJILLO M E	18	3			27
Art	ART 21B,TRUJILLO M E	ART 21B	TRUJILLO M E	15	3	2		25
Art	ART 30A,SHIBATA J M	ART 30A	SHIBATA J M	11	5	3	1	31
Art	ART 30C,OTA N T	ART 30C	OTA N T	9	4	3		24
Art	ART 30C,OTA N T	ART 30C	OTA N T	9	5	1		28
Art	ART 31,LOPEZ L G	ART 31	LOPEZ L G	5	4	2	3	24
Art	ART 31,TRUJILLO M E	ART 31	TRUJILLO M E	13	2	1		26
Art	ART 31,DAVIS R L	ART 31	DAVIS R L	21				24
Art	ART 31,LOPEZ L G	ART 31	LOPEZ L G	7	2			18
Art	ART 32,DAVIS R L	ART 32	DAVIS R L	9				12
Art	ART 32,LOPEZ L G	ART 32	LOPEZ L G	3	3			10
Art	ART 34A,LOPEZ L G	ART 34A	LOPEZ L G	10	1	4	1	24
Art	ART 34A,LOPEZ L G	ART 34A	LOPEZ L G	8	3	1	2	26
Art	ART 40A,HARTMAN D G	ART 40A	HARTMAN D G	15	5	1		23
Art	ART 40A,HARTMAN D G	ART 40A	HARTMAN D G	15	3	1		23
Art	ART 40A,BROMBERG T L	ART 40A	BROMBERG T L	9	3	2		16
Art	ART 40B,HARTMAN D G	ART 40B	HARTMAN D G	12	2	1		17
Art	ART 40B,BROMBERG T L	ART 40B	BROMBERG T L	5		1		7
Art	ART 40C,HARTMAN D G	ART 40C	HARTMAN D G	12				13
Art	ART 41A,SIMON D L	ART 41A	SIMON D L	8	6			23
Art	ART 43A,BROMBERG T L	ART 43A	BROMBERG T L	6	4	3	1	14
Art	ART 43B,BROMBERG T L	ART 43B	BROMBERG T L	4	1	1	1	7
Art	ART 52A,PHILLIPS F	ART 52A	PHILLIPS F	16	7	1		26
Art	ART 52A,PHILLIPS F	ART 52A	PHILLIPS F	20	4	2		26
Art	ART 52A,PHILLIPS F	ART 52A	PHILLIPS F	17	2	1		24
Art	ART 52B,PHILLIPS F	ART 52B	PHILLIPS F	10	4			16
Art	ART 52C,PHILLIPS F	ART 52C	PHILLIPS F	9	1	1		14
Art	ART 60,THOMASON M M	ART 60	THOMASON M M	18	5	1		25
Art	ART 60,SCHMELTZ L A	ART 60	SCHMELTZ L A	11	2	2		20
Art	ART 90A,MEYER W J	ART 90A	MEYER W J	1				1
Art	ART 90B,MEYER W J	ART 90B	MEYER W J	1				1
Art	ARTS 88A,DAVIS R L	ARTS 88A	DAVIS R L	5	1			6
Art	ARTS 88B,DAVIS R L	ARTS 88B	DAVIS R L	1				1
Art	DESIGN 87O,HATTON C	DESIGN 87O	HATTON C	19	1			22
Athletics	VAR PE 9V,JENKINS J M	VAR PE 9V	JENKINS J M	22	5			31
Athletics	VAR PE 9W,STRONG L M	VAR PE 9W	STRONG L M	13				14
Athletics	VAR PE 14V,BARRON E A	VAR PE 14V	BARRON E A	16		1		20
Athletics	VAR PE 14W,BARRON E A	VAR PE 14W	BARRON E A	10				11
Athletics	VAR PE 21V,LINDHEIM G M	VAR PE 21V	LINDHEIM G M	89	6	2		99
Athletics	VAR PE 43V,PIERCE T L	VAR PE 43V	PIERCE T L	29				30
Athletics	VAR PE 43W,PEHANICH J	VAR PE 43W	PEHANICH J	30				31
Athletics	VAR PE 50V,ESKRIDGE B M	VAR PE 50V	ESKRIDGE B M	14				15
Athletics	VAR PE 50W,BULLOCK J A	VAR PE 50W	BULLOCK J A	10				12
Athletics	VAR PE 57W,RYAN N A	VAR PE 57W	RYAN N A	9				10
Athletics	VAR PE 60,MAYER J L	VAR PE 60	MAYER J L	13				15
Athletics	VAR PE 60,SILVA L	VAR PE 60	SILVA L	19	2	1		38
Athletics	VAR PE 60,GARCIA S M	VAR PE 60	GARCIA S M	10	1			12
Athletics	VAR PE 60,MURRAY Z M	VAR PE 60	MURRAY Z M	4	4	2		19
Athletics	VAR PE 60,SOTO D P	VAR PE 60	SOTO D P	9				11
Athletics	VAR PE 60,MURRAY Z M	VAR PE 60	MURRAY Z M	10	2	2		20
Athletics	VAR PE 60,SILVA L	VAR PE 60	SILVA L	1				1
Athletics	VAR PE 60,MOOREHEAD J R	VAR PE 60	MOOREHEAD J R	10				10
Business	ACCTG 1,SCHAPA E J	ACCTG 1	SCHAPA E J	33	4	4		45
Business	ACCTG 1,RESNICK W J	ACCTG 1	RESNICK W J	18	5	5		49
Business	ACCTG 1,BROOKINS G T	ACCTG 1	BROOKINS G T	5	5	4		40
Business	ACCTG 1,MAIER L S	ACCTG 1	MAIER L S	19	7	4		43
Business	ACCTG 1,SCHAPA E J	ACCTG 1	SCHAPA E J	23	8	2		43
Business	ACCTG 1,TRIPPETTI V J	ACCTG 1	TRIPPETTI V J	17	9	5		50
Business	ACCTG 1,TRIPPETTI V J	ACCTG 1	TRIPPETTI V J	18	10	7		52
Business	ACCTG 1,NAULT W H	ACCTG 1	NAULT W H	10	7	3	2	49
Business	ACCTG 1,FITZGERALD R L	ACCTG 1	FITZGERALD R L	7	5	3		35
Business	ACCTG 1,HALLIDAY P D	ACCTG 1	HALLIDAY P D	14	6	5		41
Business	ACCTG 1,HALLIDAY P D	ACCTG 1	HALLIDAY P D	5	9	7		37
Business	ACCTG 1,RESNICK W J	ACCTG 1	RESNICK W J	30	11	1		50
Business	ACCTG 1,RESNICK W J	ACCTG 1	RESNICK W J	16	10	1		39
Business	ACCTG 1,DEMETRE N J	ACCTG 1	DEMETRE N J	13	4	2		43
Business	ACCTG 1,PLATZ W A	ACCTG 1	PLATZ W A	2	3	1	1	29
Business	ACCTG 1,PLATZ W A	ACCTG 1	PLATZ W A	4	6	6		37
Business	ACCTG 1,BROOKINS G T	ACCTG 1	BROOKINS G T	5	10	4		38
Business	ACCTG 1,ANDRE J M	ACCTG 1	ANDRE J M	8	4	4		27
Business	ACCTG 1,LIM WIN Y	ACCTG 1	LIM WIN Y	7	2	3		23
Business	ACCTG 1,MAIER L S	ACCTG 1	MAIER L S	7	1	4		17
Business	ACCTG 1,HICKS L E	ACCTG 1	HICKS L E	16	11	5		41
Business	ACCTG 1,NAULT W H	ACCTG 1	NAULT W H	8	5	8		38
Business	ACCTG 2,KNIGHT R B	ACCTG 2	KNIGHT R B	8	10	10		42
Business	ACCTG 2,LEVITON N J	ACCTG 2	LEVITON N J	14	10	5		35
Business	ACCTG 2,BERNSTEIN T D	ACCTG 2	BERNSTEIN T D	16	9	9		43
Business	ACCTG 2,BERNSTEIN T D	ACCTG 2	BERNSTEIN T D	14	7	3		32
Business	ACCTG 2,KNIGHT R B	ACCTG 2	KNIGHT R B	8	10	5		38
Business	ACCTG 2,LU M	ACCTG 2	LU M	17	9	5		38
Business	ACCTG 2,HUANG AI M	ACCTG 2	HUANG AI M	10	1	2		18
Business	ACCTG 2,LEVITON N J	ACCTG 2	LEVITON N J	25	8	2		40
Business	ACCTG 2,ARAKELIAN A	ACCTG 2	ARAKELIAN A	15	7	3		28
Business	ACCTG 2,BROOKINS G T	ACCTG 2	BROOKINS G T	3	5	4		26
Business	ACCTG 2,HUANG AI M	ACCTG 2	HUANG AI M	16	8	7		39
Business	ACCTG 2,HUANG AI M	ACCTG 2	HUANG AI M	20	1	3		33
Business	ACCTG 2,DANIEL C	ACCTG 2	DANIEL C	2	6	5		25
Business	ACCTG 2,DANIEL C	ACCTG 2	DANIEL C	4	3	6		23
Business	ACCTG 2,CARBALLO P S	ACCTG 2	CARBALLO P S	4	3	7		36
Business	ACCTG 2,ARAKELIAN A	ACCTG 2	ARAKELIAN A	5	7	7		27
Business	ACCTG 6,HUANG AI M	ACCTG 6	HUANG AI M	9	7	5		27
Business	ACCTG 7,HANSON M P	ACCTG 7	HANSON M P	17	12	1		35
Business	ACCTG 9,BERNSTEIN T D	ACCTG 9	BERNSTEIN T D	11	12	6		37
Business	ACCTG 9,BERNSTEIN T D	ACCTG 9	BERNSTEIN T D	18	7	3		31
Business	ACCTG 10A,LU M	ACCTG 10A	LU M	9	13	2		28
Business	ACCTG 10A,LU M	ACCTG 10A	LU M	4	15	2		27
Business	ACCTG 10A,LU M	ACCTG 10A	LU M	6	3	1	1	17
Business	ACCTG 10B,LU M	ACCTG 10B	LU M	6	12	4		27
Business	ACCTG 10B,LU M	ACCTG 10B	LU M	8	11	3		28
Business	ACCTG 10B,BROOKINS G T	ACCTG 10B	BROOKINS G T	1	5	6		17
Business	ACCTG 10C,HAIG J	ACCTG 10C	HAIG J	6	9	7		28
Business	ACCTG 10C,HANSON M P	ACCTG 10C	HANSON M P	2	5	3		19
Business	ACCTG 11,HANSON M P	ACCTG 11	HANSON M P	12	11	1		25
Business	ACCTG 12,RESNICK W J	ACCTG 12	RESNICK W J	9	13	2		28
Business	ACCTG 12,RESNICK W J	ACCTG 12	RESNICK W J	11	7	3		24
Business	ACCTG 15,FITZGERALD R L	ACCTG 15	FITZGERALD R L	6	9	4		25
Business	ACCTG 15,HAIG J	ACCTG 15	HAIG J	4	9	3		24
Business	ACCTG 16,KIM J S	ACCTG 16	KIM J S	8	11		1	26
Business	ACCTG 16,KIM J S	ACCTG 16	KIM J S	3	5	1		15
Business	ACCTG 21,SCHAPA E J	ACCTG 21	SCHAPA E J	26	3			38
Business	ACCTG 26,HALLIDAY-ROBERT CA	ACCTG 26	HALLIDAY-ROBERT CA	4	2	2		9
Business	ACCTG 31A,VALDIVIA O	ACCTG 31A	VALDIVIA O	14	10	2		33
Business	ACCTG 31B,VALDIVIA O	ACCTG 31B	VALDIVIA O	16	6	1		28
Business	ACCTG 45,HALLIDAY P D	ACCTG 45	HALLIDAY P D	5		2		14
Business	AUTO 40,KAY D	AUTO 40	KAY D	23	5			35
Business	AUTO 46,KAY D	AUTO 46	KAY D	14	4			20
Business	BUS 1,ROPER-CONLEY C	BUS 1	ROPER-CONLEY C	1	11	11		45
Business	BUS 1,SEDKY S M	BUS 1	SEDKY S M	21	9	8		45
Business	BUS 1,ROPER-CONLEY C	BUS 1	ROPER-CONLEY C	6	19	16		73
Business	BUS 1,SHISHIDO K M	BUS 1	SHISHIDO K M	13	14	9		51
Business	BUS 1,KELLY MARCELLA A	BUS 1	KELLY MARCELLA A	21	17	11		57
Business	BUS 1,SHISHIDO K M	BUS 1	SHISHIDO K M	10	11	10		50
Business	BUS 1,VEAS S	BUS 1	VEAS S	49	1	2		54
Business	BUS 1,CHANDLER F G	BUS 1	CHANDLER F G	10	10	6		42
Business	BUS 1,CHANDLER F G	BUS 1	CHANDLER F G	10	7	7		37
Business	BUS 1,MANDELBAUM A B	BUS 1	MANDELBAUM A B	12	1	4		31
Business	BUS 1,KELLY MARCELLA A	BUS 1	KELLY MARCELLA A	12	6	5		37
Business	BUS 1,TUCKER J L	BUS 1	TUCKER J L	9	5	7		37
Business	BUS 1,TUCKER J L	BUS 1	TUCKER J L	13	3	4		37
Business	BUS 1,VEAS S	BUS 1	VEAS S	45	3			51
Business	BUS 1,KELLY MARCELLA A	BUS 1	KELLY MARCELLA A	11	3	7		35
Business	BUS 1,KELLY MARCELLA A	BUS 1	KELLY MARCELLA A	11	7	7		42
Business	BUS 1,VEAS S	BUS 1	VEAS S	46	2			52
Business	BUS 1,SABOLIC P C	BUS 1	SABOLIC P C	8	6	5		30
Business	BUS 1,NASSER D M	BUS 1	NASSER D M	2				4
Business	BUS 1,OLIVERI J S	BUS 1	OLIVERI J S	2	11	5		26
Business	BUS 1,OLIVERI J S	BUS 1	OLIVERI J S	8	9	11		41
Business	BUS 1,ROPER-CONLEY C	BUS 1	ROPER-CONLEY C	7	23	4		54
Business	BUS 5,RADOS-CLOKE A	BUS 5	RADOS-CLOKE A	12	13	8		46
Business	BUS 5,RADOS-CLOKE A	BUS 5	RADOS-CLOKE A	9	15	11		53
Business	BUS 5,RADOS-CLOKE A	BUS 5	RADOS-CLOKE A	17	13	13		52
Business	BUS 5,NASSER D M	BUS 5	NASSER D M	23	11	11		48
Business	BUS 5,NASSER D M	BUS 5	NASSER D M	14	11	3	2	45
Business	BUS 5,DOWNS J M	BUS 5	DOWNS J M	1	3	13		35
Business	BUS 5,KLUGMAN E B	BUS 5	KLUGMAN E B	10	3	6		38
Business	BUS 5,HALLIDAY-ROBERT CA	BUS 5	HALLIDAY-ROBERT CA	8	8	3		31
Business	BUS 5,SINDELL S M	BUS 5	SINDELL S M	2	9	16		39
Business	BUS 5,KLUGMAN E B	BUS 5	KLUGMAN E B	6	9	9		37
Business	BUS 5,O'NEAL S L	BUS 5	O'NEAL S L	4	7	4		33
Business	BUS 5,KLUGMAN E B	BUS 5	KLUGMAN E B	9	9	8		45
Business	BUS 6,HALLIDAY-ROBERT CA	BUS 6	HALLIDAY-ROBERT CA	3	11	5	1	23
Business	BUS 11,MARGOLIS D L	BUS 11	MARGOLIS D L	13	15	4		45
Business	BUS 15,ULBRICHT T	BUS 15	ULBRICHT T	4	5	5		39
Business	BUS 16,COMBS G E	BUS 16	COMBS G E	3	7	3		33
Business	BUS 20,SABOLIC P C	BUS 20	SABOLIC P C	3	16	9		41
Business	BUS 20,KELLY MARCELLA A	BUS 20	KELLY MARCELLA A	3	11	18		42
Business	BUS 20,VEAS S	BUS 20	VEAS S	22	10	6		46
Business	BUS 20,VEAS S	BUS 20	VEAS S	21	10	1		43
Business	BUS 20,VEAS S	BUS 20	VEAS S	21	4	6		45
Business	BUS 20,VEAS S	BUS 20	VEAS S	17	6	6		44
Business	BUS 20,OLIVERI J S	BUS 20	OLIVERI J S	4	10	7		36
Business	BUS 22,IVAS L	BUS 22	IVAS L	24	6	3		40
Business	BUS 23,COPLEN J S	BUS 23	COPLEN J S	11	17	13		47
Business	BUS 25,IVAS L	BUS 25	IVAS L	27	4			39
Business	BUS 26,COPLEN J S	BUS 26	COPLEN J S	9	9	2		35
Business	BUS 31,PAIK R	BUS 31	PAIK R	5	2	4		21
Business	BUS 31,PAIK R	BUS 31	PAIK R	1	4	10	1	32
Business	BUS 31,SANTILLANES A 	BUS 31	SANTILLANES A 	4	10	2	1	22
Business	BUS 32,ROCKWELL C	BUS 32	ROCKWELL C	6	5	6		29
Business	BUS 32,ROCKWELL C	BUS 32	ROCKWELL C	8	6	3		25
Business	BUS 32,FINESTONE A M	BUS 32	FINESTONE A M	16	6	5		34
Business	BUS 32,PAIK R	BUS 32	PAIK R	1	14	10		36
Business	BUS 32,JUNG D	BUS 32	JUNG D	3	4	3		22
Business	BUS 32,JUNG D	BUS 32	JUNG D	1	5	2		18
Business	BUS 32,SOUCY S H	BUS 32	SOUCY S H	6	8	2	1	23
Business	BUS 32,SOUCY S H	BUS 32	SOUCY S H	6	4	1		18
Business	BUS 32,SOUCY S H	BUS 32	SOUCY S H	2	3	4		17
Business	BUS 34,HAIG J D	BUS 34	HAIG J D	20	5	5		43
Business	BUS 45,HALLIDAY P D	BUS 45	HALLIDAY P D	8	3	2		21
Business	BUS 46,SHISHIDO K M	BUS 46	SHISHIDO K M	8	11	5		49
Business	BUS 47,HALLIDAY P D	BUS 47	HALLIDAY P D	3	1		1	7
Business	BUS 47,HALLIDAY P D	BUS 47	HALLIDAY P D	4	2			7
Business	BUS 50,ALEXANDER J S	BUS 50	ALEXANDER J S	5	9	16		36
Business	BUS 50,SABOLIC P C	BUS 50	SABOLIC P C	1	7	7		26
Business	BUS 51,WELTON M	BUS 51	WELTON M	19	9	2		36
Business	BUS 52,MANDELBAUM A B	BUS 52	MANDELBAUM A B	11	10	12		38
Business	BUS 53,RODRIGUEZ K P	BUS 53	RODRIGUEZ K P	5	8	4		28
Business	BUS 62,BABCOCK L G	BUS 62	BABCOCK L G	18	10	5		42
Business	BUS 63,CLAUSEN A I	BUS 63	CLAUSEN A I	3	11	1		27
Business	BUS 63,ALEXANDER J S	BUS 63	ALEXANDER J S	12	8	4		46
Business	BUS 65,ROCKWELL C	BUS 65	ROCKWELL C	12	12	7		41
Business	BUS 80,RODRIGUEZ K P	BUS 80	RODRIGUEZ K P	9	14	5		38
Business	BUS 81,SATTERLEE B C	BUS 81	SATTERLEE B C	9	10	3		29
Business	COUNS 47,HALLIDAY P D	COUNS 47	HALLIDAY P D	5	3	1		12
Business	COUNS 47,HALLIDAY P D	COUNS 47	HALLIDAY P D	1	5	2		13
Communicatio	BUS 29,ADELMAN A	BUS 29	ADELMAN A	5	11	1		22
Communicatio	BUS 33,ADELMAN A 	BUS 33	ADELMAN A 	5	2		2	9
Communicatio	COM ST 9,OGATA D K	COM ST 9	OGATA D K	21	5			40
Communicatio	COM ST 11,OGATA D K	COM ST 11	OGATA D K	34	13	1		57
Communicatio	COM ST 11,MARTIN B S	COM ST 11	MARTIN B S	13	9	3		31
Communicatio	COM ST 11,BROCCARD D	COM ST 11	BROCCARD D	15	16	2		38
Communicatio	COM ST 11,BERMUDEZ JR N A	COM ST 11	BERMUDEZ JR N A	27	7	2		38
Communicatio	COM ST 11,BERMUDEZ JR N A	COM ST 11	BERMUDEZ JR N A	17	2	2		27
Communicatio	COM ST 11,MARTIN B S	COM ST 11	MARTIN B S	16	7	3	1	32
Communicatio	COM ST 11,OGATA D K	COM ST 11	OGATA D K	51	5			58
Communicatio	COM ST 11,EVANS J D	COM ST 11	EVANS J D	23	9	1		44
Communicatio	COM ST 11,JUNIUS J A	COM ST 11	JUNIUS J A	7	17	10		38
Communicatio	COM ST 11,BROCCARD D	COM ST 11	BROCCARD D	19	11	3		40
Communicatio	COM ST 11,WHIDDEN A R	COM ST 11	WHIDDEN A R	11	13	3		29
Communicatio	COM ST 11,KAHN R A	COM ST 11	KAHN R A	8	4	1		28
Communicatio	COM ST 11,JUNIUS J A	COM ST 11	JUNIUS J A	10	11	4		38
Communicatio	COM ST 11,MCNAMARA C V	COM ST 11	MCNAMARA C V	10	6	11		38
Communicatio	COM ST 11,SHAFFER J M	COM ST 11	SHAFFER J M	5	4	7		31
Communicatio	COM ST 11,KAHN R A	COM ST 11	KAHN R A	8	7	5		31
Communicatio	COM ST 11,BROWN N A	COM ST 11	BROWN N A	11	9	3		30
Communicatio	COM ST 11,MCNAMARA C V	COM ST 11	MCNAMARA C V	10	10	6		37
Communicatio	COM ST 11,OGATA D K	COM ST 11	OGATA D K	35	15			60
Communicatio	COM ST 11,PRESTON B L	COM ST 11	PRESTON B L	28	10			38
Communicatio	COM ST 11,PRESTON B L	COM ST 11	PRESTON B L	22	6			32
Communicatio	COM ST 11,FARSCHMAN K V	COM ST 11	FARSCHMAN K V	16	13	1		34
Communicatio	COM ST 11,JUNIUS J A	COM ST 11	JUNIUS J A	4	2	1		13
Communicatio	COM ST 11,HOWARD B	COM ST 11	HOWARD B	8	16	10		39
Communicatio	COM ST 11,HOWARD B	COM ST 11	HOWARD B	6	12	17		39
Communicatio	COM ST 11,FARSCHMAN K V	COM ST 11	FARSCHMAN K V	13	14			36
Communicatio	COM ST 11,SMITH F N	COM ST 11	SMITH F N	6	17	4		36
Communicatio	COM ST 11,HOWARD D B	COM ST 11	HOWARD D B	8	17	3		38
Communicatio	COM ST 11,PRESTON B L	COM ST 11	PRESTON B L	26	12			38
Communicatio	COM ST 11,LEMONDS B W	COM ST 11	LEMONDS B W	15	11	2		28
Communicatio	COM ST 11,HOWARD B	COM ST 11	HOWARD B	6	11	11		36
Communicatio	COM ST 11,FARSCHMAN K V	COM ST 11	FARSCHMAN K V	13	13	1		32
Communicatio	COM ST 11,HOWARD D B	COM ST 11	HOWARD D B	20	10			38
Communicatio	COM ST 12,WHIDDEN A R	COM ST 12	WHIDDEN A R	14	12	8		36
Communicatio	COM ST 13,MCNAMARA C V	COM ST 13	MCNAMARA C V	14	8	6		35
Communicatio	COM ST 14,FOX N M	COM ST 14	FOX N M	4	5	5		21
Communicatio	COM ST 16,MEGA M A	COM ST 16	MEGA M A	3	18	10		35
Communicatio	COM ST 16,MEGA M A	COM ST 16	MEGA M A	18	6	7		35
Communicatio	COM ST 16,BROCCARD D	COM ST 16	BROCCARD D	7	20	3		32
Communicatio	COM ST 21,FOX N M	COM ST 21	FOX N M	11	10	4		34
Communicatio	COM ST 21,BROWN N A	COM ST 21	BROWN N A	11	6	2		31
Communicatio	COM ST 21,EVANS J D	COM ST 21	EVANS J D	38	3	3		44
Communicatio	COM ST 21,BROWN N A	COM ST 21	BROWN N A	10	3	3		29
Communicatio	COM ST 31,GRASS HEMMERT N L	COM ST 31	GRASS HEMMERT N L	11	7	2		26
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	18	8	5		32
Communicatio	COM ST 35,SADEGHI-TABRIZI F	COM ST 35	SADEGHI-TABRIZI F	8	8	5		32
Communicatio	COM ST 35,OGATA D K	COM ST 35	OGATA D K	46	6			62
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	13	8	1		28
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	13	7	6		26
Communicatio	COM ST 35,OGATA D K	COM ST 35	OGATA D K	48	2			58
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	12	14	2		34
Communicatio	COM ST 35,SMITH H A	COM ST 35	SMITH H A	7	8	8		32
Communicatio	COM ST 35,KRAUT D S	COM ST 35	KRAUT D S	16	6	2		29
Communicatio	COM ST 35,SMITH H A	COM ST 35	SMITH H A	5	7	8		26
Communicatio	COM ST 35,MEGA M A	COM ST 35	MEGA M A	4	9	12		34
Communicatio	COM ST 35,SMITH H A	COM ST 35	SMITH H A	2	10	6		26
