Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
Business	BUS 27,COPLEN J S	BUS 27	COPLEN J S	3	11	4	1	25
Business	BUS 31,PAIK R	BUS 31	PAIK R	2	8	3		23
Business	BUS 31,SANTILLANES A	BUS 31	SANTILLANES A	2	9	6		23
Business	BUS 31,SANTILLANES A	BUS 31	SANTILLANES A	1	3	7	1	19
Business	BUS 32,ROCKWELL C	BUS 32	ROCKWELL C	6	8	3		26
Business	BUS 32,FINESTONE A M	BUS 32	FINESTONE A M	12	11	5		32
Business	BUS 32,ROCKWELL C	BUS 32	ROCKWELL C	3	11	5		30
Business	BUS 32,PAIK R	BUS 32	PAIK R	2	9	13		32
Business	BUS 32,PAIK R	BUS 32	PAIK R	3	11	5		31
Business	BUS 32,NASSER D M	BUS 32	NASSER D M	12	8	8		28
Business	BUS 32,JUNG D	BUS 32	JUNG D	1	4	4		19
Business	BUS 32,JUNG D	BUS 32	JUNG D	2	5	4		21
Business	BUS 32,SOUCY S H	BUS 32	SOUCY S H	6	1	2		18
Business	BUS 32,SOUCY S H	BUS 32	SOUCY S H	9	5	1		20
Business	BUS 32,SOUCY S H	BUS 32	SOUCY S H	10	4	1		20
Business	BUS 34,HAIG J D	BUS 34	HAIG J D	11	8	3	1	39
Business	BUS 45,HALLIDAY P D	BUS 45	HALLIDAY P D	3	2	4		18
Business	BUS 46,SHISHIDO K M	BUS 46	SHISHIDO K M	4	12	3		36
Business	BUS 47,HALLIDAY P D	BUS 47	HALLIDAY P D	4		1		10
Business	BUS 47,HALLIDAY P D	BUS 47	HALLIDAY P D	2	3	3		12
Business	BUS 47,HALLIDAY P D	BUS 47	HALLIDAY P D	2	3	1		23
Business	BUS 47,HALLIDAY P D	BUS 47	HALLIDAY P D	4	7	3		28
Business	BUS 50,ALEXANDER J S	BUS 50	ALEXANDER J S	10	4	4		34
Business	BUS 51,WELTON M	BUS 51	WELTON M	11	11	4		31
Business	BUS 53,RODRIGUEZ K P	BUS 53	RODRIGUEZ K P	7	6	3	1	25
Business	BUS 62,BABCOCK L G	BUS 62	BABCOCK L G	25	9	4		44
Business	BUS 63,CLAUSEN A I	BUS 63	CLAUSEN A I	6	6	7	1	36
